"","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","Current.Ver","Android.Ver"
"1","ART_AND_DESIGN",4.1,159,19,"10,000+","Free",0,"Everyone","Art & Design","January 7, 2018","1.0.0","4.0.3 and up"
"2","ART_AND_DESIGN",3.9,967,14,"500,000+","Free",0,"Everyone","Art & Design;Pretend Play","January 15, 2018","2.0.0","4.0.3 and up"
"3","ART_AND_DESIGN",4.7,87510,8.7,"5,000,000+","Free",0,"Everyone","Art & Design","August 1, 2018","1.2.4","4.0.3 and up"
"4","ART_AND_DESIGN",4.5,215644,25,"50,000,000+","Free",0,"Teen","Art & Design","June 8, 2018","Varies with device","4.2 and up"
"5","ART_AND_DESIGN",4.3,967,2.8,"100,000+","Free",0,"Everyone","Art & Design;Creativity","June 20, 2018","1.1","4.4 and up"
"6","ART_AND_DESIGN",4.4,167,5.6,"50,000+","Free",0,"Everyone","Art & Design","March 26, 2017","1.0","2.3 and up"
"7","ART_AND_DESIGN",3.8,178,19,"50,000+","Free",0,"Everyone","Art & Design","April 26, 2018","1.1","4.0.3 and up"
"8","ART_AND_DESIGN",4.1,36815,29,"1,000,000+","Free",0,"Everyone","Art & Design","June 14, 2018","6.1.61.1","4.2 and up"
"9","ART_AND_DESIGN",4.4,13791,33,"1,000,000+","Free",0,"Everyone","Art & Design","September 20, 2017","2.9.2","3.0 and up"
"10","ART_AND_DESIGN",4.7,121,3.1,"10,000+","Free",0,"Everyone","Art & Design;Creativity","July 3, 2018","2.8","4.0.3 and up"
"11","ART_AND_DESIGN",4.4,13880,28,"1,000,000+","Free",0,"Everyone","Art & Design","October 27, 2017","1.0.4","4.1 and up"
"12","ART_AND_DESIGN",4.4,8788,12,"1,000,000+","Free",0,"Everyone","Art & Design","July 31, 2018","1.0.15","4.0 and up"
"13","ART_AND_DESIGN",4.2,44829,20,"10,000,000+","Free",0,"Teen","Art & Design","April 2, 2018","3.8","4.1 and up"
"14","ART_AND_DESIGN",4.6,4326,21,"100,000+","Free",0,"Everyone","Art & Design","June 26, 2018","1.0.4","4.4 and up"
"15","ART_AND_DESIGN",4.4,1518,37,"100,000+","Free",0,"Everyone","Art & Design","August 3, 2018","1.2.3","2.3 and up"
"16","ART_AND_DESIGN",3.2,55,2.7,"5,000+","Free",0,"Everyone","Art & Design","June 6, 2018","NaN","4.2 and up"
"17","ART_AND_DESIGN",4.7,3632,5.5,"500,000+","Free",0,"Everyone","Art & Design","July 31, 2018","3.1","4.1 and up"
"18","ART_AND_DESIGN",4.5,27,17,"10,000+","Free",0,"Everyone","Art & Design","November 7, 2017","1.0","2.3 and up"
"19","ART_AND_DESIGN",4.3,194216,39,"5,000,000+","Free",0,"Everyone","Art & Design","August 3, 2018","2.2.5","4.0.3 and up"
